id,species,pre_mirna,mature_mirna,pre_mirna_mirbase_entry,mature_mirna_mirbase_entry,cell_line,family,cluster,reproductive_process,reference
156,Homosapiens,hsa-mir-885,hsa-miR-885-3p,,,,,,,
157,Homosapiens,hsa-mir-1302-1,hsa-miR-1302,,,,,,,
158,Homosapiens,hsa-mir-491,hsa-miR-491-3p,,,,,,,
159,Homosapiens,hsa-mir-200c,hsa-miR-200c-5p,,,,,,,
160,Homosapiens,hsa-mir-3150b,hsa-miR-3150b-3p,,,,,,,
161,Homosapiens,hsa-mir-891a,hsa-miR-891a-5p,,,,,,,
162,Homosapiens,hsa-mir-1973,hsa-miR-1973,,,,,,,
163,Homosapiens,hsa-mir-4485,hsa-miR-4485-3p,,,,,,,
164,Homosapiens,hsa-mir-525,hsa-miR-525-5p,,,,,,,
165,Homosapiens,hsa-mir-892b,hsa-miR-892b,,,,,,,
166,Homosapiens,hsa-mir-645,hsa-miR-645,,,,,,,
167,Homosapiens,hsa-mir-181b-2,hsa-miR-181b-2-3p,,,,,,,
168,Homosapiens,hsa-mir-4428,hsa-miR-4428,,,,,,,
169,Homosapiens,hsa-mir-605,hsa-miR-605-3p,,,,,,,
170,Homosapiens,hsa-mir-4768,hsa-miR-4768-3p,,,,,,,
171,Homosapiens,hsa-mir-4768,hsa-miR-4768-5p,,,,,,,
172,Homosapiens,hsa-mir-3975,hsa-miR-3975,,,,,,,
173,Homosapiens,hsa-mir-1197,hsa-miR-1197,,,,,,,
174,Homosapiens,hsa-mir-892a,hsa-miR-892a,,,,,,,
175,Homosapiens,hsa-mir-4697,hsa-miR-4697-3p,,,,,,,
176,Homosapiens,hsa-mir-888,hsa-miR-888-5p,,,,,,,
177,Homosapiens,hsa-mir-1244-1,hsa-miR-1244,,,,,,,
178,Homosapiens,hsa-mir-1-1,hsa-miR-1-5p,,,,,,,
179,Homosapiens,hsa-mir-3620,hsa-miR-3620-5p,,,,,,,
180,Homosapiens,hsa-mir-4539,hsa-miR-4539,,,,,,,
181,Homosapiens,hsa-mir-3150b,hsa-miR-3150b-5p,,,,,,,
182,Homosapiens,hsa-mir-3945,hsa-miR-3945,,,,,,,
183,Homosapiens,hsa-mir-4743,hsa-miR-4743-5p,,,,,,,
184,Homosapiens,hsa-mir-4697,hsa-miR-4697-5p,,,,,,,
185,Homosapiens,hsa-mir-4746,hsa-miR-4746-3p,,,,,,,
186,Homosapiens,hsa-mir-4485,hsa-miR-4485-5p,,,,,,,
187,Homosapiens,hsa-mir-137,hsa-miR-137-3p,,,,,,,
188,Homosapiens,hsa-mir-217,hsa-miR-217-5p,,,,,,,
189,Homosapiens,hsa-mir-320a,hsa-miR-320a-3p,,,,,,,
190,Homosapiens,hsa-mir-375,hsa-miR-375-3p,,,,,,,
191,Homosapiens,hsa-mir-217,hsa-miR-217-3p,,,,,,,
192,Homosapiens,hsa-mir-320a,hsa-miR-320a-5p,,,,,,,
193,Homosapiens,hsa-mir-375,hsa-miR-375-5p,,,,,,,
194,Homosapiens,hsa-let-7b,NA,,,,,,,
195,Homosapiens,hsa-mir-17,NA,,,,,,,
196,Homosapiens,hsa-mir-21,NA,,,,,,,
197,Homosapiens,hsa-mir-214,NA,,,,,,,
198,Homosapiens,hsa-mir-217,NA,,,,,,,
199,Homosapiens,hsa-mir-223,NA,,,,,,,
200,Homosapiens,hsa-mir-137,NA,,,,,,,
201,Homosapiens,hsa-mir-145,NA,,,,,,,
202,Homosapiens,hsa-mir-146a,NA,,,,,,,
203,Homosapiens,hsa-mir-206,NA,,,,,,,
204,Homosapiens,hsa-mir-155,NA,,,,,,,
205,Homosapiens,hsa-mir-29c,NA,,,,,,,
206,Homosapiens,hsa-mir-200a,NA,,,,,,,
207,Homosapiens,hsa-mir-34c,NA,,,,,,,
208,Homosapiens,hsa-mir-299,NA,,,,,,,
209,Homosapiens,hsa-mir-363,NA,,,,,,,
210,Homosapiens,hsa-mir-375,NA,,,,,,,
211,Homosapiens,hsa-mir-330,NA,,,,,,,
212,Homosapiens,hsa-mir-151a,NA,,,,,,,
213,Homosapiens,hsa-mir-338,NA,,,,,,,
214,Homosapiens,hsa-mir-196b,NA,,,,,,,
215,Homosapiens,hsa-mir-449a,NA,,,,,,,
216,Homosapiens,hsa-mir-490,NA,,,,,,,
217,Homosapiens,hsa-mir-491,NA,,,,,,,
218,Homosapiens,hsa-mir-525,NA,,,,,,,
219,Homosapiens,hsa-mir-518f,NA,,,,,,,
220,Homosapiens,hsa-mir-520h,NA,,,,,,,
221,Homosapiens,hsa-mir-634,NA,,,,,,,
222,Homosapiens,hsa-mir-645,NA,,,,,,,
223,Homosapiens,hsa-mir-671,NA,,,,,,,
224,Homosapiens,hsa-mir-873,NA,,,,,,,
225,Homosapiens,hsa-mir-936,NA,,,,,,,
226,Homosapiens,hsa-mir-1276,NA,,,,,,,
227,Homosapiens,hsa-mir-1197,NA,,,,,,,
228,Homosapiens,hsa-mir-320e,NA,,,,,,,
229,Homosapiens,hsa-mir-3620,NA,,,,,,,
230,Homosapiens,hsa-mir-3150b,NA,,,,,,,
231,Homosapiens,hsa-mir-4428,NA,,,,,,,
232,Homosapiens,hsa-mir-4485,NA,,,,,,,
233,Homosapiens,hsa-mir-3975,NA,,,,,,,
234,Homosapiens,hsa-mir-4698,NA,,,,,,,
235,Homosapiens,hsa-mir-4743,NA,,,,,,,
236,Homosapiens,hsa-mir-5690,NA,,,,,,,
237,Homosapiens,hsa-mir-518b,NA,,,,,,,
238,Homosapiens,hsa-mir-517a,NA,,,,,,,
239,Homosapiens,hsa-mir-891a,NA,,,,,,,
240,Homosapiens,hsa-mir-892a,NA,,,,,,,
241,Homosapiens,hsa-mir-888,NA,,,,,,,
242,Homosapiens,hsa-mir-892b,NA,,,,,,,
243,Homosapiens,hsa-mir-3945,NA,,,,,,,
244,Homosapiens,hsa-mir-4539,NA,,,,,,,
245,Homosapiens,hsa-mir-137,hsa-miR-137-5p,,,,,,,
246,Homosapiens,hsa-mir-1973,NA,,,,,,,
